route,year,field5,n,mean_pct,median_pct,max_pct,median_dist_m,median_bearing,frame_steps
84-40,2023,0146,15,53.31467629256353,53.31548393554199,53.675450762829406,336.0037202100858,180.0,"[3, 4]"
84-40,2023,0148,14,52.627938142176795,52.60615194983103,52.97053127820471,337.50592587390224,0.34003030776295873,"[2, 3]"
84-40,2023,0151,9,52.930400346257834,52.95519930737278,53.26842837273992,336.75964269909906,180.12824813523682,[3]
84-40,2023,0152,9,52.79829017258808,52.83564512667003,53.14685314685315,337.0001857354101,179.87292578309564,"[3, 4, 44]"
84-40,2023,0153,9,52.77147208958773,52.82940519988226,53.093942586632416,337.52686033046064,1.1480263532573645,[3]
84-40,2023,0154,8,52.81501489556357,52.76809746423006,53.05082228116711,338.1478966369597,178.4724745577871,"[3, 4]"
84-40,2023,0206,17,52.8392026550248,52.85859008391543,53.50817030080379,269.28432040392283,180.2680393185539,"[2, 3, 43]"
84-40,2023,0207,17,53.23020837628242,53.264644738767586,53.726169844020795,269.2574279447984,359.68228065810274,"[2, 3]"
84-40,2023,0208,17,53.075694429907216,53.10147406618404,53.58903070895994,269.0004646836135,180.10689498700776,"[2, 3]"
84-40,2023,0209,17,53.40041685013334,53.38024202914171,54.03638621379692,268.0046641239078,180.21903751259558,"[2, 3, 43]"
84-40,2023,0210,17,53.24376904537381,53.13588850174216,53.937101928772016,269.0011617066256,180.05275848502674,"[2, 3, 43]"
84-40,2023,0211,16,53.42678966210124,53.471768983843255,54.0587219343696,268.51163848146325,0.21064529915537378,"[2, 3, 43]"
84-41,2021,0002,6,48.03703703703703,48.00611111111111,48.166666666666664,311.01446911679204,0.5526752649481637,"[5, 46]"
84-41,2021,0003,6,38.614111111111114,48.172222222222224,48.44611111111111,310.01451578918045,180.18542258734394,"[4, 110]"
84-41,2021,0004,4,16.075308641975308,0.0,48.22592592592593,619.0395787023638,179.630354938153,"[4, 7, 8]"
84-41,2021,0016,6,48.324481481481484,48.39222222222222,48.504444444444445,309.00647242412253,0.5580581267715843,"[5, 6, 45]"
84-41,2021,0017,6,47.95974074074075,48.05962962962963,48.504444444444445,311.00643080167976,180.36493633573062,"[3, 4]"
84-41,2021,0018,5,48.22578703703704,48.16962962962963,48.67055555555555,310.50402185035483,0.3678660663379105,"[5, 46]"
84-41,2023,0113,15,53.85482073329663,53.820520067834934,54.21431094158367,334.2593557559078,179.95698518284144,"[3, 4]"
84-41,2023,0114,15,53.7162691119065,53.98815199871731,54.41461654677881,333.75299847379057,180.30116977551245,"[3, 4, 44]"
84-41,2023,0115,14,53.66670865901142,53.817753382748265,54.33987119437939,335.01343256651666,0.34308439952354775,"[3, 4, 44]"
84-41,2023,0116,14,53.60695709143428,53.55191256830601,53.86503050209847,335.0059700960566,179.74345344801577,"[3, 4, 44]"
84-41,2023,0117,15,53.96386504175333,53.974605861813565,54.14705683660602,334.0024326245613,0.47161161559381526,"[3, 4, 43]"
84-41,2023,0118,18,50.80513847036021,54.22874671340929,54.55801104972376,332.50338344143205,179.82716257701293,"[3, 4, 44, 703]"
84-41,2023,0119,17,50.37580500110877,53.58212567452411,54.70240033987113,336.53190002187677,0.6821907971673511,"[3, 4, 44, 673]"
84-41,2023,0124,15,54.783490464741654,54.80603423826109,55.14033352176371,326.7792040614512,180.08707639018172,"[3, 4, 44]"
84-42,2021,0031,6,50.447792207792205,49.86935064935065,52.518181818181816,349.05157212079706,179.01506930104506,[1]
84-42,2021,0032,6,50.34709090909091,50.72727272727273,50.857142857142854,344.0,357.8482805279471,[1]
84-42,2021,0033,5,50.906915584415586,51.04818181818182,51.33701298701299,342.50073099258964,180.24840675272424,[1]
85-45,2023,0024,9,77.46015948008736,77.56950011044816,80.16917502787068,159.71330776460735,182.95177312749112,[1]
85-45,2023,0025,10,76.27695494632081,77.24340224053186,78.43095477386935,159.75371670167803,5.260022215670972,[1]
85-45,2023,0026,22,74.42218135606704,78.04370084561583,78.6170364631481,159.02829936838287,180.0,"[1, 201]"
