route,year,f5_a,f5_b,area_a_km2,area_b_km2,overlap_km2,pct_a,pct_b,bearing,dist_m,adjacent
82-24,2023,0005,0006,4.199353,4.196952,1.401433,33.37259334949932,33.391685203928944,89.2466733011496,1204.2707567467758,True
82-24,2023,0006,0007,4.196952,10.406681,0.0,0.0,0.0,8.495402983926397,8216.845029467288,True
82-24,2023,0007,0008,10.406681,12.481899,3.390089,32.57608261462036,27.160041913494094,127.93158984927129,1532.4655875518026,True
82-24,2023,0008,0009,12.481899,6.435329,1.081559,8.66501964164267,16.80658440306626,174.6884498745453,12689.136426290383,True
82-24,2023,0009,0010,6.435329,3.21777,0.21296,3.309232519425192,6.618248041345404,6.445325223658074,10908.196038415334,True
82-24,2023,0010,0011,3.21777,8.248867,1.094042,34.00000621548464,13.262936594807504,134.17355013984098,1659.8027890294,True
82-24,2023,0011,0012,8.248867,9.237508,2.773344,33.62090818048103,30.022642470241973,77.78994216898593,1221.8632482210542,True
82-24,2023,0012,0013,9.237508,8.211698,2.741945,29.68273478085215,33.39071894753071,74.77550666624938,1233.569750973434,True
82-24,2023,0013,0014,8.211698,7.174357,2.299666,28.004756141787,32.053966648160944,79.92841390387139,1233.7138796297982,True
82-24,2023,0016,0017,3.12344,4.122837,0.955227,30.582530799375046,23.169167250609227,99.53196858319359,1251.0224179757558,True
83-25,2021,0014,0015,2.652267,2.813717,0.543182,20.479913975478336,19.304784383077617,74.40572091692576,910.6031702562173,True
83-25,2021,0015,0016,2.813717,2.649046,0.586716,20.851990445378835,22.148199767010464,106.20046295772829,893.5221523866903,True
83-25,2021,0016,0017,2.649046,3.055837,0.520895,19.6634939521624,17.045902644676403,78.38180021606132,908.9991856603889,True
83-25,2021,0017,0018,3.055837,3.04447,0.619004,20.256446924361477,20.332077504458905,83.42070385922534,878.2212602933556,True
83-25,2021,0022,0023,3.740077,5.235745,0.744435,19.904269350604277,14.218320410944383,130.11761453508745,1149.3570603294145,True
83-25,2021,0023,0024,5.235745,5.981554,1.146606,21.89957685104985,19.16903199402697,99.22451629497101,874.2547879463198,True
83-25,2021,0024,0025,5.981554,4.907994,0.966576,16.159279010103393,19.693911606248907,87.46199262648338,887.4917823750703,True
83-25,2021,0025,0026,4.907994,4.888773,0.947636,19.308010563990095,19.383923123450405,75.06063894094598,883.4483776651903,True
83-25,2021,0026,0027,4.888773,4.864171,0.766178,15.672194229513213,15.75146104032938,91.43684091072822,930.5425873889009,True
83-26,2021,0012,0013,4.886546,4.607319,1.022094,20.91649193520331,22.184137890169968,102.93796538633075,875.9772803087744,True
83-26,2021,0013,0014,4.607319,4.510557,0.891526,19.35021212987423,19.765319449460456,113.40572729154587,954.7763459478736,True
83-31,2021,0039,0040,1.765962,1.575402,0.296605,16.795661514800432,18.827258058578064,95.09214668660707,745.9440618456163,True
83-31,2021,0040,0041,1.575402,1.767218,0.334831,21.25368636068762,18.946785286252176,80.99361840391151,731.6877096917701,True
83-31,2021,0041,0042,1.767218,2.252122,0.354211,20.043424184226282,15.727877974639028,115.29305137344318,805.8352346152454,True
83-31,2021,0042,0043,2.252122,1.923665,0.392055,17.40824875384193,20.380627604078672,51.78208129151477,906.6859313592319,True
83-34,2021,0012,0013,2.666765,2.282561,0.384853,14.431455340084334,16.86057897247872,79.35892209091264,931.0103867722876,True
83-34,2021,0013,0014,2.282561,2.651959,0.618939,27.115989452198647,23.338935481280064,95.54480345866,808.1145451330334,True
83-34,2021,0024,0025,2.290763,2.291404,0.315818,13.786585517576459,13.78272884222948,90.19291435354427,950.405387190143,True
84-40,2021,0028,0029,0.633231,1.198022,0.127614,20.152835221269964,10.652058142504895,111.77729872661047,772.2373441015399,True
84-40,2021,0029,0030,1.198022,1.482586,0.228739,19.09305505241139,15.428379871386888,83.14843207530089,730.9450154594384,True
84-40,2021,0030,0031,1.482586,0.906267,0.184832,12.466865328554297,20.394872592734814,111.8018721386095,766.5627357091996,True
84-40,2021,0037,0038,2.221666,2.772994,0.172647,7.771060096342114,6.226014192601931,90.47238196096413,788.4017951685549,True
84-40,2021,0038,0039,2.772994,2.800254,0.585584,21.117391526992126,20.911817285146277,81.45596265543969,717.4905122882702,True
84-40,2021,0039,0040,2.800254,1.654414,0.308678,11.023214322700726,18.657845013400514,128.05230294598186,936.4705161691165,True
84-40,2021,0040,0041,1.654414,1.77586,0.017756,1.073250105475413,0.9998535920624374,158.37129568843568,1935.4370242204889,True
84-40,2021,0041,0042,1.77586,2.343595,0.34169,19.240818532992467,14.579737539975977,72.46636420182767,772.2974069115535,True
84-40,2021,0042,0043,2.343595,2.374944,0.175851,7.50347222963012,7.404427220178666,22.358369110499268,1843.4615070906689,True
84-40,2021,0043,0044,2.374944,2.362585,0.458284,19.296623415120525,19.39756664839572,95.71545414976555,733.0190247360568,True
84-40,2021,0044,0045,2.362585,3.087614,0.433693,18.356715208130076,14.046218212509725,57.72909433815943,874.3300899833017,True
84-40,2021,0045,0047,3.087614,2.812802,0.530614,17.18524401042358,18.864249954316016,92.4424030244557,736.0464277660203,False
84-40,2021,0047,0049,2.812802,4.069256,0.54425,19.349033454896578,13.374680777026562,141.60799281902962,1174.3220526920163,False
84-40,2021,0049,0051,4.069256,4.88407,0.723442,17.77823759429242,14.812277465310693,136.73517321740292,1088.0750493376472,False
84-40,2021,0051,0053,4.88407,2.195176,0.439549,8.999645787222542,20.023405868139957,141.44297242576766,1151.2151246977483,False
84-40,2023,0125,0126,5.132752,5.135382,1.20795,23.53415867355368,23.522106047807153,82.53970555242421,746.8217889459763,True
84-40,2023,0126,0127,5.135382,5.104056,1.17807,22.94026033506368,23.081055537008215,95.59050784408498,746.9528417362126,True
