tile,route,label_E,label_N,rgb_E,rgb_N,dE,dN,in_contaminated_set
O2021_83_26_1_0012_00001782_6000_4000.tif,83-26,479061.0,6168646.0,479162.0,6167998.0,101.0,-648.0,False
O2021_84_40_1_0049_00072950_0_1000.tif,84-40,725690.0,6175779.0,725690.0,6176195.0,0.0,416.0,False
O2021_84_40_1_0041_00090722_8000_2000.tif,84-40,721414.0,6173942.0,722111.0,6173222.0,697.0,-720.0,False
O2021_83_31_1_0043_00091113_6000_4000.tif,83-31,494623.0,6104508.0,494523.0,6104518.0,-100.0,10.0,False
O2023_82_24_1_0012_00000543_2000_12000.tif,82-24,575152.0,6224402.0,574752.0,6224376.0,-400.0,-26.0,False
O2023_84_40_1_0126_00090902_7000_1000.tif,84-40,712214.0,6185048.0,712610.0,6185023.0,396.0,-25.0,False
O2021_82_24_1_0020_00004287_3000_3000.tif,82-24,574006.0,6224689.0,574107.0,6224125.0,101.0,-564.0,False
O2023_85_48_1_0053_00000201_4000_1000.tif,85-48,654419.0,6144583.0,654823.0,6145040.0,404.0,457.0,True
O2021_82_22_1_0031_00000386_3000_3000.tif,82-22,529861.0,6222470.0,530060.0,6222824.0,199.0,354.0,False
O2021_84_40_1_0044_00082844_9000_0.tif,84-40,723683.0,6175079.0,724290.0,6175908.0,607.0,829.0,False
O2021_83_25_1_0027_00001532_5000_3000.tif,83-25,462494.0,6142824.0,462993.0,6143480.0,499.0,656.0,False
O2021_83_25_1_0026_00001210_5000_2000.tif,83-25,461572.0,6142869.0,462066.0,6143605.0,494.0,736.0,False
O2023_82_24_1_0011_00000390_13000_8000.tif,82-24,575044.0,6224261.0,574644.0,6224161.0,-400.0,-100.0,False
O2021_83_25_1_0018_00002611_2000_0.tif,83-25,455436.0,6161620.0,454736.0,6161920.0,-700.0,300.0,False
O2023_84_40_1_0126_00090908_6000_2000.tif,84-40,712122.0,6185601.0,712518.0,6185577.0,396.0,-24.0,False
O2021_83_25_1_0017_00002704_8000_3000.tif,83-25,454182.0,6163161.0,454477.0,6162526.0,295.0,-635.0,False
O2021_82_19_1_0024_00005011_0_3000.tif,82-19,456015.0,6215654.0,455415.0,6215854.0,-600.0,200.0,False
O2021_82_19_1_0024_00005010_3000_1000.tif,82-19,455415.0,6215854.0,455713.0,6216402.0,298.0,548.0,False
O2021_83_26_1_0013_00001594_9000_6000.tif,83-26,479919.0,6166995.0,480309.0,6167152.0,390.0,157.0,False
O2021_83_25_1_0018_00002607_0_3000.tif,83-25,455144.0,6162945.0,454544.0,6162960.0,-600.0,15.0,False
O2021_82_20_1_0023_00004976_12000_2000.tif,82-20,496936.0,6219812.0,496536.0,6220112.0,-400.0,300.0,True
O2023_84_41_1_0119_00153056_0_5000.tif,84-41,707113.0,6179711.0,706714.0,6179741.0,-399.0,30.0,False
O2021_83_31_1_0043_00091110_6000_3000.tif,83-31,494523.0,6104518.0,494523.0,6104828.0,0.0,310.0,False
O2021_82_22_1_0029_00002078_6000_3000.tif,82-22,528900.0,6221976.0,529099.0,6222023.0,199.0,47.0,False
O2021_83_26_1_0014_00001463_6000_4000.tif,83-26,491320.0,6103500.0,480889.0,6168702.0,-10431.0,65202.0,False
O2021_82_19_1_0023_00005471_10000_1000.tif,82-19,455362.0,6215552.0,455662.0,6215752.0,300.0,200.0,False
O2021_82_24_1_0021_00002046_5000_2000.tif,82-24,574831.0,6224408.0,574824.0,6224245.0,-7.0,-163.0,False
O2021_84_40_1_0047_00073821_0_4000.tif,84-40,724968.0,6177456.0,724967.0,6176845.0,-1.0,-611.0,False
O2023_84_40_1_0126_00090917_1000_6000.tif,84-40,712725.0,6186653.0,712025.0,6186153.0,-700.0,-500.0,False
O2023_82_24_1_0013_00000576_5000_3000.tif,82-24,576642.0,6224225.0,576242.0,6224125.0,-400.0,-100.0,False
O2021_82_16_1_0027_00005667_10cm_4000_0.tif,82-16,577552.0,6230132.0,577045.0,6230977.0,-507.0,845.0,False
O2023_84_40_1_0135_00071426_8000_2000.tif,84-40,719802.0,6167198.0,719416.0,6168923.0,-386.0,1725.0,False
O2023_82_24_1_0013_00000576_16740_6000.tif,82-24,576242.0,6224125.0,577416.0,6223825.0,1174.0,-300.0,False
O2023_84_40_1_0125_00092544_6000_2000.tif,84-40,711363.0,6185508.0,711765.0,6186133.0,402.0,625.0,False
O2023_82_24_1_0011_00000391_9000_1000.tif,82-24,574447.0,6223837.0,574245.0,6224298.0,-202.0,461.0,False
O2021_84_40_1_0039_00062721_7000_2000.tif,84-40,720472.0,6174605.0,720574.0,6175220.0,102.0,615.0,False
O2021_82_22_1_0029_00002081_8000_4000.tif,82-22,529092.0,6222336.0,529294.0,6222382.0,202.0,46.0,False
O2021_83_26_1_0013_00001598_9000_1000.tif,83-26,480122.0,6165756.0,480325.0,6166187.0,203.0,431.0,False
O2021_83_26_1_0012_00001773_9000_4000.tif,83-26,478955.0,6165207.0,479447.0,6165085.0,492.0,-122.0,False
O2021_82_21_1_0004_00002040_12000_2000.tif,82-21,497292.0,6220366.0,496892.0,6220666.0,-400.0,300.0,True
O2021_84_41_1_0003_00074400_4000_2000.tif,84-41,570747.0,6221696.0,694225.0,6219713.0,123478.0,-1983.0,False
O2021_84_40_1_0045_00093322_8000_0.tif,84-40,724931.0,6176708.0,725014.0,6176354.0,83.0,-354.0,False
O2021_82_20_1_0024_00005079_5000_8000.tif,82-20,496658.0,6221831.0,497159.0,6220599.0,501.0,-1232.0,True
O2021_82_11_1_0027_00002539_7000_4000.tif,82-11,465178.0,6258721.0,464796.0,6258521.0,-382.0,-200.0,False
O2021_83_25_1_0026_00001209_9000_7000.tif,83-25,462066.0,6143605.0,462469.0,6143522.0,403.0,-83.0,False
O2023_82_24_1_0011_00000390_10000_9000.tif,82-24,574644.0,6224161.0,574344.0,6224061.0,-300.0,-100.0,False
