cell,route,fold,n_contam,n_clean,acc_contam,acc_clean,d_acc,miou_contam,miou_clean,d_miou,n_macro_contam,n_macro_clean,iou_contam_asfalt,iou_clean_asfalt,d_asfalt,iou_contam_fliser,iou_clean_fliser,d_fliser,iou_contam_grus,iou_clean_grus,d_grus,iou_contam_ubefestet,iou_clean_ubefestet,d_ubefestet,iou_contam_green_roof,iou_clean_green_roof,d_green_roof,iou_contam_drivhus,iou_clean_drivhus,d_drivhus,iou_contam_betonflade,iou_clean_betonflade,d_betonflade,iou_contam_brosten,iou_clean_brosten,d_brosten,iou_contam_solceller,iou_clean_solceller,d_solceller
segformer_b1_6ch,82-20,2,522,86,0.8028012779636913,0.7429249475831354,0.05987633038055584,0.2826001024536082,0.30478224340927734,-0.022182140955669116,8,7,0.5054815268373689,0.5134514719300773,-0.00796994509270843,0.27108708990871244,0.25854442260874666,0.012542667299965782,0.3364025755696585,0.2722687847002852,0.06413379086937332,0.901983305924261,0.855274310517776,0.04670899540648499,0.0,0.0,0.0,0.12367901086728737,0.23393671410805583,-0.11025770324076846,0.1221223068312752,0.0,0.1221223068312752,4.5003690302604814e-05,0.0,4.5003690302604814e-05,0.0,,
segformer_b1_6ch,84-40,0,62,600,0.9848957019465349,0.7598327191384742,0.2250629828080607,0.6157306039599297,0.18079988031107772,0.434930723648852,3,9,0.8633780342442484,0.4041193461187722,0.4592586881254762,0.0,0.13939529841443424,-0.13939529841443424,0.0,0.20203238574918164,-0.20203238574918164,0.9838137776355409,0.8347475847741481,0.14906619286139278,,0.0,,0.0,0.01720458167516333,-0.01720458167516333,0.0,0.00861215442474046,-0.00861215442474046,,0.020973056899486146,,,0.0001145147437732608,
segformer_b1_6ch,84-41,2,61,282,0.9902058098579424,0.9677192273693167,0.022486582488625673,0.9411810245629252,0.35119084653492066,0.5899901780280046,2,5,0.892974124876427,0.2622010115765082,0.6307731132999188,0.0,0.0,0.0,0.0,0.05486580222522238,-0.05486580222522238,0.9893879242494233,0.9700826516007776,0.019305272648645788,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.4688047672720952,
segformer_b1_6ch,85-45,2,173,228,0.9678378640395011,0.8443613826863321,0.12347648135316902,0.9366581945637185,0.7309461528477661,0.20571204171595237,3,2,,0.0,,,0.0,,0.9339391568983209,0.0,0.9339391568983209,0.9413433241240665,0.6243286699850131,0.3170146541390534,,,,,0.0,,,0.0,,,,,0.934692102668768,0.8375636357105192,0.09712846695824884
segformer_b1_6ch_unw,82-20,2,522,86,0.7726680133692421,0.689965734323812,0.08270227904543004,0.22780536331779816,0.23484635073052118,-0.007040987412723021,8,7,0.4283520502651814,0.356755527807751,0.07159652245743042,0.2503003909145584,0.26319385808337975,-0.012893467168821338,0.2654540906239127,0.18579164314742566,0.07966244747648701,0.8783363747387327,0.838183426075092,0.04015294866364072,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
segformer_b1_6ch_unw,84-40,0,62,600,0.9841512689888098,0.7610819738901192,0.22306929509869056,0.6143692814571247,0.1751434866627667,0.43922579479435797,3,9,0.8586775034783211,0.4396853657141598,0.4189921377641613,0.0,0.15888642938463118,-0.15888642938463118,0.0,0.10918290234907065,-0.10918290234907065,0.984430340893053,0.8163668491991581,0.1680634916938949,,0.0,,,0.0,,0.0,0.0004390999979939916,-0.0004390999979939916,,0.008856237157333567,,,0.04287449616255314,
segformer_b1_6ch_unw,84-41,2,61,282,0.9921839936648974,0.979892070314912,0.012291923349985412,0.9538818107024588,0.3380866553859668,0.615795155316492,2,5,0.9158591263276784,0.09060515754918556,0.8252539687784929,0.0,0.0,0.0,0.0,0.194313038992973,-0.194313038992973,0.9919044950772392,0.9799642173804186,0.0119402776968206,,,,,,,,0.0,,,0.0,,,0.42555086300725653,
segformer_b1_6ch_unw,85-45,2,173,228,0.9626781451193123,0.8951835324257126,0.06749461269359969,0.9255044047449422,0.8201786186901151,0.10532578605482712,3,2,0.0,,,,,,0.912431225546569,0.0,0.912431225546569,0.9270646914977643,0.7516548142476401,0.17540987725012414,,,,,,,,,,,,,0.9370172971904935,0.8887024231325901,0.04831487405790347
segformer_b1_rgb,82-20,2,522,86,0.7731845286031734,0.7128648635739319,0.060319665029241576,0.2533950504865699,0.27157034130481167,-0.018175290818241763,8,7,0.4213133751255576,0.45598156289232916,-0.03466818776677155,0.22067070081673346,0.22116717704586036,-0.0004964762291269076,0.3106745793575017,0.2463028735016304,0.06437170585587129,0.897086020198986,0.8615775704336752,0.03550844976531076,0.0,,,0.1774157283937806,0.11596320526018664,0.06145252313359395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
segformer_b1_rgb,84-40,0,62,600,0.9844401774584147,0.8091068605575306,0.17533331690088416,0.6143478529322426,0.23371865881479265,0.38062919411744994,3,9,0.8588237797856215,0.5165076471545799,0.34231613263104166,0.0,0.15088445212774032,-0.15088445212774032,0.0,0.29425462451399514,-0.29425462451399514,0.9842197790111064,0.9137021555765189,0.07051762343458745,,0.0,,,0.019703393271932816,,0.0,0.12384741392454215,-0.12384741392454215,,0.08395722975797658,,,0.0006110130058482674,
